Six-Digit Numbers,Sum of Digits,Sum Mod 8,(8 - x) Mod 8
116514,18,2,6
116515,19,3,5
116516,20,4,4
116521,16,0,0
116522,17,1,7
116523,18,2,6
116524,19,3,5
116525,20,4,4
116526,21,5,3
116531,17,1,7
116532,18,2,6
116533,19,3,5
116534,20,4,4
116535,21,5,3
116536,22,6,2
116541,18,2,6
116542,19,3,5
116543,20,4,4
116544,21,5,3
116545,22,6,2
116546,23,7,1
116551,19,3,5
116552,20,4,4
116553,21,5,3
116554,22,6,2
116555,23,7,1
116556,24,0,0
116561,20,4,4
116562,21,5,3
116563,22,6,2
116564,23,7,1
116565,24,0,0
116566,25,1,7
116611,16,0,0
116612,17,1,7
116613,18,2,6
116614,19,3,5
116615,20,4,4
116616,21,5,3
116621,17,1,7
116622,18,2,6
116623,19,3,5
116624,20,4,4
116625,21,5,3
116626,22,6,2
116631,18,2,6
116632,19,3,5
116633,20,4,4
116634,21,5,3
116635,22,6,2
116636,23,7,1
116641,19,3,5
116642,20,4,4
116643,21,5,3
116644,22,6,2
116645,23,7,1
116646,24,0,0
116651,20,4,4
116652,21,5,3
116653,22,6,2
116654,23,7,1
116655,24,0,0
116656,25,1,7
116661,21,5,3
116662,22,6,2
116663,23,7,1
116664,24,0,0
116665,25,1,7
116666,26,2,6
121111,7,7,1
121112,8,0,0
121113,9,1,7
121114,10,2,6
121115,11,3,5
121116,12,4,4
121121,8,0,0
121122,9,1,7
121123,10,2,6
121124,11,3,5
121125,12,4,4
121126,13,5,3
121131,9,1,7
121132,10,2,6
121133,11,3,5
121134,12,4,4
121135,13,5,3
121136,14,6,2
121141,10,2,6
121142,11,3,5
121143,12,4,4
121144,13,5,3
121145,14,6,2
121146,15,7,1
121151,11,3,5
121152,12,4,4
121153,13,5,3
121154,14,6,2
121155,15,7,1
121156,16,0,0
121161,12,4,4
121162,13,5,3
121163,14,6,2
121164,15,7,1
121165,16,0,0
121166,17,1,7
121211,8,0,0
121212,9,1,7
121213,10,2,6
121214,11,3,5
121215,12,4,4
121216,13,5,3
121221,9,1,7
121222,10,2,6
121223,11,3,5
121224,12,4,4
121225,13,5,3
121226,14,6,2
121231,10,2,6
121232,11,3,5
121233,12,4,4
121234,13,5,3
121235,14,6,2
121236,15,7,1
121241,11,3,5
121242,12,4,4
121243,13,5,3
121244,14,6,2
121245,15,7,1
121246,16,0,0
121251,12,4,4
121252,13,5,3
121253,14,6,2
121254,15,7,1
121255,16,0,0
121256,17,1,7
121261,13,5,3
121262,14,6,2
121263,15,7,1
121264,16,0,0
121265,17,1,7
121266,18,2,6
121311,9,1,7
121312,10,2,6
121313,11,3,5
121314,12,4,4
121315,13,5,3
121316,14,6,2
121321,10,2,6
121322,11,3,5
121323,12,4,4
121324,13,5,3
121325,14,6,2
121326,15,7,1
121331,11,3,5
121332,12,4,4
121333,13,5,3
121334,14,6,2
121335,15,7,1
121336,16,0,0
121341,12,4,4
121342,13,5,3
121343,14,6,2
121344,15,7,1
121345,16,0,0
121346,17,1,7
121351,13,5,3
121352,14,6,2
121353,15,7,1
121354,16,0,0
121355,17,1,7
121356,18,2,6
121361,14,6,2
121362,15,7,1
121363,16,0,0
121364,17,1,7
121365,18,2,6
121366,19,3,5
121411,10,2,6
121412,11,3,5
121413,12,4,4
121414,13,5,3
121415,14,6,2
121416,15,7,1
121421,11,3,5
121422,12,4,4
121423,13,5,3
121424,14,6,2
121425,15,7,1
121426,16,0,0
121431,12,4,4
121432,13,5,3
121433,14,6,2
121434,15,7,1
121435,16,0,0
121436,17,1,7
121441,13,5,3
